YEAR,NAME,VARIABLE,VALUE
2017,Perry,NETMIG,-86.0
2018,Perry,NETMIG,3.0
2019,Perry,NETMIG,46.0
2020,Perry,NETMIG,88.0
2021,Perry,NETMIG,74.0
2022,Perry,NETMIG,127.0
2023,Perry,NETMIG,133.0
2010,Pickaway,NETMIG,-76.0
2011,Pickaway,NETMIG,118.0
2012,Pickaway,NETMIG,212.0
2013,Pickaway,NETMIG,58.0
2014,Pickaway,NETMIG,232.0
2015,Pickaway,NETMIG,155.0
2016,Pickaway,NETMIG,539.0
2017,Pickaway,NETMIG,254.0
2018,Pickaway,NETMIG,347.0
2019,Pickaway,NETMIG,366.0
2020,Pickaway,NETMIG,484.0
2021,Pickaway,NETMIG,200.0
2022,Pickaway,NETMIG,1340.0
2023,Pickaway,NETMIG,1155.0
2010,Ross,NETMIG,80.0
2011,Ross,NETMIG,-459.0
2012,Ross,NETMIG,-334.0
2013,Ross,NETMIG,-34.0
2014,Ross,NETMIG,-333.0
2015,Ross,NETMIG,12.0
2016,Ross,NETMIG,-141.0
2017,Ross,NETMIG,387.0
2018,Ross,NETMIG,-411.0
2019,Ross,NETMIG,-211.0
2020,Ross,NETMIG,24.0
2021,Ross,NETMIG,-234.0
2022,Ross,NETMIG,442.0
2023,Ross,NETMIG,282.0
2010,Union,NETMIG,100.0
2011,Union,NETMIG,358.0
2012,Union,NETMIG,-608.0
2013,Union,NETMIG,389.0
2014,Union,NETMIG,111.0
2015,Union,NETMIG,336.0
2016,Union,NETMIG,906.0
2017,Union,NETMIG,928.0
2018,Union,NETMIG,700.0
2019,Union,NETMIG,895.0
2020,Union,NETMIG,1024.0
2021,Union,NETMIG,1877.0
2022,Union,NETMIG,1561.0
2023,Union,NETMIG,2537.0
2010,15-County Region,POPEST,2186769.0
2011,15-County Region,POPEST,2206291.0
2012,15-County Region,POPEST,2225767.0
2013,15-County Region,POPEST,2252245.0
2014,15-County Region,POPEST,2279644.0
2015,15-County Region,POPEST,2304910.0
2016,15-County Region,POPEST,2329214.0
2017,15-County Region,POPEST,2360060.0
2018,15-County Region,POPEST,2382390.0
2019,15-County Region,POPEST,2400549.0
2020,15-County Region,POPEST,2422226.0
2021,15-County Region,POPEST,2426372.0
2022,15-County Region,POPEST,2441273.0
2023,15-County Region,POPEST,2459817.0
2010,Delaware,POPEST,175099.0
2011,Delaware,POPEST,178535.0
2012,Delaware,POPEST,181127.0
2013,Delaware,POPEST,185380.0
2014,Delaware,POPEST,189440.0
2015,Delaware,POPEST,193391.0
2016,Delaware,POPEST,197144.0
2017,Delaware,POPEST,200870.0
2018,Delaware,POPEST,205091.0
2019,Delaware,POPEST,209177.0
2020,Delaware,POPEST,215166.0
2021,Delaware,POPEST,221282.0
2022,Delaware,POPEST,226526.0
2023,Delaware,POPEST,231636.0
2010,Fairfield,POPEST,146417.0
2011,Fairfield,POPEST,147174.0
2012,Fairfield,POPEST,147301.0
2013,Fairfield,POPEST,148796.0
2014,Fairfield,POPEST,150360.0
2015,Fairfield,POPEST,151254.0
2016,Fairfield,POPEST,152789.0
2017,Fairfield,POPEST,154686.0
2018,Fairfield,POPEST,155982.0
2019,Fairfield,POPEST,157574.0
2020,Fairfield,POPEST,159448.0
2021,Fairfield,POPEST,161209.0
2022,Fairfield,POPEST,162956.0
2023,Fairfield,POPEST,165360.0
2010,Fayette,POPEST,29014.0
2011,Fayette,POPEST,28867.0
2012,Fayette,POPEST,28767.0
2013,Fayette,POPEST,28686.0
2014,Fayette,POPEST,28650.0
2015,Fayette,POPEST,28611.0
2016,Fayette,POPEST,28670.0
2017,Fayette,POPEST,28639.0
2018,Fayette,POPEST,28653.0
2019,Fayette,POPEST,28525.0
2020,Fayette,POPEST,28975.0
2021,Fayette,POPEST,28934.0
2022,Fayette,POPEST,28832.0
2023,Fayette,POPEST,28817.0
2010,Franklin,POPEST,1166202.0
2011,Franklin,POPEST,1180800.0
2012,Franklin,POPEST,1199045.0
2013,Franklin,POPEST,1218878.0
2014,Franklin,POPEST,1238362.0
2015,Franklin,POPEST,1257386.0
2016,Franklin,POPEST,1274450.0
2017,Franklin,POPEST,1295510.0
2018,Franklin,POPEST,1307698.0
2019,Franklin,POPEST,1316756.0
2020,Franklin,POPEST,1324441.0
2021,Franklin,POPEST,1317346.0
2022,Franklin,POPEST,1321730.0
2023,Franklin,POPEST,1326063.0
2010,Hocking,POPEST,29478.0
2011,Hocking,POPEST,29466.0
2012,Hocking,POPEST,29304.0
2013,Hocking,POPEST,28653.0
2014,Hocking,POPEST,28743.0
2015,Hocking,POPEST,28500.0
2016,Hocking,POPEST,28393.0
2017,Hocking,POPEST,28436.0
2018,Hocking,POPEST,28357.0
2019,Hocking,POPEST,28264.0
2020,Hocking,POPEST,28040.0
2021,Hocking,POPEST,28101.0
